iter	Passed	Remaining
655	1272	667
656	1273	664
657	1275	662
658	1276	660
659	1277	658
660	1279	656
661	1280	654
662	1282	651
663	1284	649
664	1285	647
665	1287	645
666	1288	643
667	1290	641
668	1291	639
669	1293	636
670	1294	634
671	1296	632
672	1297	630
673	1299	628
674	1300	626
675	1302	624
676	1303	621
677	1304	619
678	1306	617
679	1307	615
680	1309	613
681	1310	611
682	1312	609
683	1313	606
684	1315	604
685	1316	602
686	1318	600
687	1320	598
688	1321	596
689	1323	594
690	1325	592
691	1326	590
692	1328	588
693	1329	586
694	1331	584
695	1332	582
696	1334	580
697	1336	578
698	1337	576
699	1339	573
700	1340	571
701	1342	569
702	1343	567
703	1345	565
704	1347	563
705	1349	561
706	1350	559
707	1352	557
708	1354	555
709	1355	553
710	1358	552
711	1360	550
712	1361	548
713	1363	546
714	1364	543
715	1366	541
716	1367	539
717	1370	538
718	1371	536
719	1373	533
720	1374	531
721	1376	529
722	1377	527
723	1379	525
724	1380	523
725	1382	521
726	1383	519
727	1385	517
728	1386	515
729	1388	513
730	1389	511
731	1391	509
732	1392	507
733	1394	505
734	1395	503
735	1397	501
736	1398	499
737	1400	497
738	1401	495
739	1403	493
740	1404	491
741	1406	489
742	1408	487
743	1409	484
744	1411	482
745	1412	480
746	1414	479
747	1416	477
748	1417	475
749	1419	473
750	1421	471
751	1422	469
752	1424	467
753	1425	465
754	1427	463
755	1429	461
756	1430	459
757	1432	457
758	1433	455
759	1435	453
760	1437	451
761	1438	449
762	1440	447
763	1441	445
764	1442	443
765	1444	441
766	1446	439
767	1447	437
768	1449	435
769	1450	433
770	1452	431
771	1453	429
772	1455	427
773	1456	425
774	1458	423
775	1459	421
776	1461	419
777	1462	417
778	1464	415
779	1466	413
780	1467	411
781	1468	409
782	1470	407
783	1472	405
784	1473	403
785	1475	401
786	1476	399
787	1478	397
788	1479	395
789	1481	393
790	1482	391
791	1484	389
792	1485	387
793	1487	385
794	1488	383
795	1490	381
796	1491	379
797	1493	377
798	1494	376
799	1496	374
800	1498	372
801	1499	370
802	1500	368
803	1502	366
804	1504	364
805	1505	362
806	1507	360
807	1509	358
808	1510	356
809	1512	354
810	1514	352
811	1515	350
812	1517	348
813	1518	347
814	1520	345
815	1521	343
816	1523	341
817	1525	339
818	1526	337
819	1528	335
820	1529	333
821	1531	331
822	1533	329
823	1535	327
824	1537	326
825	1539	324
826	1540	322
827	1542	320
828	1543	318
829	1545	316
830	1547	314
831	1549	312
832	1550	310
833	1552	309
834	1554	307
835	1555	305
836	1557	303
837	1559	301
838	1560	299
839	1562	297
840	1563	295
841	1565	293
842	1566	291
843	1568	289
844	1569	287
845	1571	286
846	1573	284
847	1574	282
848	1576	280
849	1577	278
850	1579	276
851	1581	274
852	1583	272
853	1585	271
854	1587	269
855	1588	267
856	1590	265
857	1592	263
858	1594	261
859	1595	259
860	1597	257
861	1598	255
862	1600	254
863	1601	252
864	1603	250
865	1605	248
866	1606	246
867	1608	244
868	1609	242
869	1611	240
870	1612	238
871	1614	236
872	1615	235
873	1617	233
874	1618	231
875	1620	229
876	1621	227
877	1623	225
878	1624	223
879	1626	221
880	1627	219
881	1629	217
882	1630	216
883	1632	214
884	1633	212
885	1634	210
886	1636	208
887	1637	206
888	1639	204
889	1640	202
890	1642	200
891	1643	199
892	1645	197
893	1646	195
894	1648	193
895	1649	191
896	1651	189
897	1652	187
898	1654	185
899	1655	183
900	1657	182
901	1659	180
902	1660	178
903	1662	176
904	1663	174
905	1665	172
906	1667	170
907	1668	169
908	1670	167
909	1671	165
910	1673	163
911	1674	161
912	1676	159
913	1677	157
914	1678	155
915	1680	154
916	1681	152
917	1683	150
918	1685	148
919	1687	146
920	1688	144
921	1690	143
922	1692	141
923	1694	139
924	1696	137
925	1698	135
926	1699	133
927	1701	131
928	1702	130
929	1704	128
930	1706	126
931	1707	124
932	1709	122
933	1710	120
934	1712	119
935	1713	117
936	1715	115
937	1716	113
938	1718	111
939	1720	109
940	1721	107
941	1723	106
942	1724	104
943	1726	102
944	1728	100
945	1729	98
946	1731	96
947	1732	95
948	1734	93
949	1735	91
950	1737	89
951	1738	87
952	1740	85
953	1741	83
954	1743	82
955	1744	80
956	1746	78
957	1747	76
958	1749	74
959	1750	72
960	1752	71
961	1754	69
962	1755	67
963	1757	65
964	1758	63
965	1760	61
966	1761	60
967	1763	58
968	1764	56
969	1766	54
970	1767	52
971	1769	50
972	1770	49
973	1772	47
974	1773	45
975	1775	43
976	1776	41
977	1778	40
978	1779	38
979	1781	36
980	1783	34
981	1784	32
982	1786	30
983	1787	29
984	1789	27
985	1790	25
986	1792	23
987	1794	21
988	1795	19
989	1797	18
990	1799	16
991	1800	14
992	1802	12
993	1803	10
994	1805	9
995	1806	7
996	1808	5
997	1809	3
998	1811	1
999	1813	0
